region,rainfall_mm,temperature_c,soil_index,market_distance_km,irrigated,farm_size_ha,high_risk
Central,724.6,25.21,0.763,38.6,0,2.35,0
South,961.6,22.69,0.767,59.1,1,5.41,0
South,765.7,26.26,0.728,6.8,1,1.5,0
Central,382.9,29.61,0.745,33.1,0,0.64,0
South,687.0,33.87,0.846,18.5,0,1.56,0
North,791.2,27.67,0.746,33.9,1,3.18,0
North,800.4,25.36,0.732,23.5,0,2.31,0
Central,556.0,24.18,0.489,52.7,0,0.99,0
North,794.7,29.05,0.702,13.9,0,5.26,1
North,759.2,22.56,0.401,19.5,0,3.02,0
East,1005.9,29.04,0.513,29.5,1,3.5,0
East,507.5,29.79,0.475,25.4,0,3.57,1
South,543.9,28.72,0.358,29.4,1,1.17,1
East,574.1,26.88,0.684,8.4,0,3.31,0
East,546.5,29.08,0.733,80.3,1,4.9,0
North,486.5,27.98,0.362,22.2,0,5.7,0
Central,205.6,25.32,0.58,14.7,0,4.34,0
Central,554.8,32.68,0.656,30.0,1,3.79,1
North,675.4,26.52,0.468,33.3,1,0.88,1
South,546.0,29.67,0.818,102.9,0,2.69,1
Central,910.3,20.73,0.882,65.4,0,1.46,0
Central,622.0,31.07,0.628,25.0,0,6.26,1
North,813.7,31.61,0.684,91.6,1,5.67,0
North,659.2,27.58,0.669,80.4,0,1.47,1
East,744.0,29.06,0.532,14.9,1,2.64,0
North,661.9,29.06,0.512,118.1,0,3.19,1
North,825.3,25.7,0.268,22.5,1,4.88,0
Central,628.4,29.03,0.843,36.1,0,0.91,0
Central,694.4,25.24,0.731,72.6,0,0.65,0
South,674.9,25.8,0.936,6.8,1,2.79,0
Central,576.8,30.66,0.564,29.4,0,0.52,1
North,680.7,30.23,0.53,40.1,1,3.01,0
Central,955.2,25.52,0.732,63.8,0,3.99,1
East,579.4,25.45,0.457,32.2,0,6.07,1
South,682.9,25.69,0.838,6.9,1,1.81,0
South,808.7,29.55,0.722,102.4,0,3.02,0
South,791.0,24.7,0.497,33.0,0,4.15,0
South,621.8,28.5,0.506,41.2,0,1.27,0
North,262.5,29.59,0.573,9.3,0,4.93,1
Central,697.5,27.25,0.577,78.1,1,3.25,0
Central,287.1,30.33,0.377,22.8,0,1.83,0
Central,840.5,26.65,0.969,18.6,0,2.98,0
East,645.4,26.9,0.478,67.1,0,2.48,1
Central,770.0,24.76,0.695,10.3,1,4.51,0
South,484.7,30.35,0.569,41.6,1,2.15,1
East,387.1,25.35,0.392,18.1,1,3.15,0
Central,659.1,28.48,0.285,45.0,0,1.82,1
East,615.0,27.3,0.868,53.3,0,1.48,0
South,546.3,24.55,0.636,22.1,0,3.04,0
East,632.7,25.79,0.496,75.2,1,1.52,1
Central,1035.1,31.37,0.751,33.1,0,4.57,0
Central,745.2,28.06,0.848,103.4,0,3.99,0
Central,777.4,24.67,0.502,67.7,0,1.65,0
North,746.6,28.35,0.611,35.7,1,3.12,0
Central,841.9,27.09,0.784,35.6,0,1.65,0
East,591.5,37.17,0.724,11.3,0,0.96,0
South,311.8,28.3,0.713,67.1,1,1.84,1
North,591.7,26.43,0.868,20.5,1,2.63,0
Central,741.8,31.48,0.343,38.5,0,3.81,1
North,474.5,22.35,0.456,102.8,1,3.0,1
North,593.5,27.76,0.169,74.3,0,4.9,0
East,516.2,33.08,0.922,15.7,0,1.44,1
Central,845.3,27.17,0.83,33.2,0,2.13,0
Central,732.4,22.65,0.643,41.3,1,7.92,0
South,717.7,26.39,0.659,80.2,1,0.77,0
North,713.2,31.57,0.767,72.7,0,2.03,0
Central,614.4,28.55,0.898,48.7,0,1.35,0
South,649.6,25.15,0.71,45.6,1,2.39,0
South,442.2,25.58,0.615,32.7,0,2.05,1
East,292.0,25.93,0.599,40.4,1,4.02,1
South,642.5,28.51,0.742,27.4,1,3.21,0
Central,668.6,31.25,0.492,56.6,0,1.16,0
South,801.4,30.45,0.442,47.3,0,1.85,1
East,855.7,28.78,0.755,65.5,0,2.72,0
South,855.5,23.77,0.753,64.3,0,4.4,0
East,470.3,23.78,0.34,20.4,0,13.22,0
South,567.2,28.99,0.798,3.9,1,4.29,0
East,692.1,23.73,0.544,19.2,1,1.41,0
North,999.8,26.87,0.707,40.2,0,2.56,0
South,842.0,28.35,0.407,27.5,1,3.06,0
Central,787.9,24.31,0.346,26.6,0,1.94,0
South,561.8,24.63,0.67,18.3,1,3.69,0
South,487.5,27.24,0.437,44.2,0,0.62,1
East,738.3,28.91,0.325,7.1,0,3.89,1
East,454.9,30.47,0.559,48.5,0,1.99,0
Central,584.2,29.2,0.718,49.1,0,2.53,1
South,602.8,27.71,0.319,64.6,1,7.05,1
South,858.9,25.41,0.897,182.1,0,1.2,0
Central,566.8,24.5,0.827,3.4,0,3.25,0
North,254.1,26.07,0.457,47.6,0,4.55,1
North,695.7,28.65,0.726,54.0,0,3.04,0
South,515.1,28.44,0.561,19.3,0,0.95,0
Central,626.4,21.62,0.594,28.9,0,6.54,0
East,607.0,25.3,0.522,23.0,0,2.37,0
Central,578.9,30.87,0.618,49.7,1,1.93,1
East,738.6,27.72,0.809,69.2,0,2.22,0
Central,390.1,23.53,0.713,12.7,0,2.12,1
South,542.4,34.1,0.493,44.6,0,1.25,1
North,722.6,27.42,0.625,78.7,1,3.03,0
South,527.9,28.58,0.934,20.4,1,1.84,0
South,378.7,28.62,0.381,2.5,0,4.2,1
East,720.3,26.47,0.737,16.6,0,3.81,0
East,788.5,25.46,0.454,15.1,0,7.82,0
North,613.3,33.44,0.752,17.4,0,2.37,0
Central,325.9,30.31,0.494,101.7,1,1.61,1
North,725.9,29.8,0.538,116.8,1,1.05,1
North,371.0,29.11,0.534,85.3,0,11.31,0
South,666.3,24.69,0.37,27.0,1,4.18,0
South,486.9,31.08,0.953,87.4,1,1.73,0
South,446.0,25.14,0.619,4.0,1,8.17,0
East,553.7,28.29,0.962,14.3,1,6.56,0
South,592.5,22.91,0.733,57.5,0,1.13,0
South,523.4,21.79,0.604,21.8,1,1.67,0
North,708.3,28.39,0.711,12.8,0,2.49,0
North,553.1,25.23,0.472,43.6,0,1.36,0
South,767.0,21.93,0.582,44.4,0,2.55,0
East,662.2,29.01,0.933,47.4,1,4.32,0
North,515.4,33.44,0.753,51.1,0,1.11,1
Central,490.1,31.39,0.7,42.1,0,3.29,0
South,372.9,26.78,0.452,31.0,1,5.81,1
North,663.6,27.52,0.766,35.2,0,3.53,0
Central,566.8,29.99,0.772,58.1,0,2.59,1
East,264.2,30.64,0.523,41.0,0,1.76,1
South,539.6,26.54,0.838,23.7,1,4.66,0
North,484.8,27.6,0.715,19.0,0,1.26,0
East,856.4,28.34,0.757,35.0,0,3.18,0
Central,364.6,29.05,0.809,78.4,0,2.76,1
East,403.8,27.13,0.8,51.6,1,5.65,0
Central,786.5,27.16,0.759,81.1,1,1.86,0
South,823.5,31.36,0.925,26.7,0,1.97,0
Central,508.3,30.89,0.887,38.9,1,1.21,0
Central,525.2,28.84,0.707,43.1,1,3.61,0
East,712.4,32.31,0.636,59.9,1,2.06,0
North,270.9,26.42,0.856,26.7,0,1.55,1
North,340.8,32.04,0.519,51.5,0,1.65,1
Central,577.9,29.02,0.756,75.6,1,3.85,0
South,852.5,36.66,0.688,32.2,0,1.33,1
South,554.6,24.16,0.753,17.1,0,1.41,0
East,635.1,25.57,0.809,77.2,0,4.87,0
Central,790.1,28.67,0.306,54.7,0,2.44,0
Central,936.0,28.61,0.387,10.3,0,5.06,0
North,533.5,32.96,0.693,32.8,0,2.15,1
South,617.5,25.63,0.5,105.6,0,2.72,0
East,893.3,30.03,0.907,48.8,1,3.01,0
South,391.7,30.75,0.831,35.0,0,6.7,0
South,774.1,29.47,0.32,15.4,0,6.35,1
Central,467.3,24.81,0.729,15.3,0,5.75,0
East,635.4,31.44,0.346,57.4,0,1.81,1
Central,583.6,30.94,0.94,16.5,1,1.43,0
North,476.3,29.18,0.535,43.3,0,4.46,0
Central,472.5,28.07,0.806,32.1,1,6.65,0
North,661.5,28.13,0.909,41.5,1,5.79,0
North,769.3,27.28,0.707,30.2,0,2.74,0
North,600.5,29.29,0.849,47.3,1,4.36,0
Central,630.5,27.59,0.96,64.3,0,4.41,0
South,705.7,25.12,0.881,30.5,0,2.99,0
Central,474.3,24.56,0.867,60.7,0,3.08,0
Central,731.0,25.39,0.825,83.4,0,2.9,0
East,742.9,28.12,0.627,43.1,1,1.63,0
South,1010.5,27.42,0.863,56.5,0,1.74,0
South,563.6,28.1,0.88,12.8,0,1.72,1
Central,551.3,28.9,0.822,31.0,0,0.96,0
East,735.3,25.74,0.652,9.2,0,2.98,0
North,742.9,31.6,0.682,23.3,1,2.65,0
Central,539.7,26.75,0.795,31.3,0,4.46,0
East,559.5,26.29,0.551,111.4,0,6.17,0
Central,701.2,28.85,0.487,19.2,0,6.43,0
South,495.9,22.36,0.88,33.8,1,6.83,0
South,558.4,25.29,0.821,16.6,1,1.66,0
South,633.4,30.25,0.226,29.4,0,1.07,1
Central,769.4,22.64,0.888,47.8,0,4.98,0
Central,529.3,30.63,0.662,53.1,0,6.68,1
Central,343.6,31.73,0.834,26.6,0,7.47,1
North,332.5,26.47,0.625,21.4,0,3.73,0
East,431.1,28.32,0.75,90.4,0,0.74,0
Central,423.0,30.63,0.753,25.2,1,3.45,0
South,596.8,26.19,0.664,4.8,0,3.9,0
South,441.7,29.93,0.767,75.8,0,6.13,1
South,514.6,25.62,0.48,6.1,0,6.88,1
Central,503.9,26.16,0.545,75.9,0,4.91,0
Central,553.9,25.26,0.72,9.4,1,1.86,0
East,818.4,28.46,0.59,11.2,1,1.39,0
South,719.3,30.74,0.737,14.0,0,3.85,0
South,622.4,26.98,0.915,23.7,1,1.62,0
East,550.8,23.94,0.412,76.4,0,7.09,0
South,555.0,24.47,0.839,14.4,0,0.9,0
North,669.2,28.6,0.696,47.7,1,3.93,0
South,707.6,32.66,0.741,40.8,0,3.35,1
North,483.9,28.6,0.889,36.1,0,2.38,0
South,625.5,26.42,0.706,67.4,0,1.49,0
East,315.3,29.65,0.851,38.2,0,0.71,1
Central,651.8,26.83,0.878,40.3,1,1.92,0
Central,734.3,26.44,0.659,56.1,0,1.95,1
North,578.0,24.82,0.717,24.3,0,5.6,0
East,892.5,31.44,0.469,34.1,1,1.63,0
North,487.8,20.39,0.479,43.0,0,3.65,0
North,652.6,29.73,0.563,63.2,0,1.17,0
Central,614.6,26.2,0.768,31.0,0,3.71,0
North,605.0,26.35,0.429,33.6,0,0.63,1
Central,602.9,32.24,0.785,47.0,0,10.61,0
Central,636.1,25.5,0.886,31.4,0,2.48,1
Central,747.2,25.6,0.641,19.6,0,0.44,0
North,826.7,27.13,0.531,56.1,0,1.7,0
North,619.7,28.66,0.764,38.4,1,1.54,0
Central,742.3,26.26,0.713,25.7,1,1.77,1
North,514.7,23.09,0.788,14.0,0,2.14,0
South,734.9,25.08,0.85,6.3,1,1.77,0
North,505.7,31.09,0.852,48.6,1,1.6,1
Central,783.6,27.71,0.63,19.2,1,1.28,0
Central,951.6,28.76,0.523,8.9,1,4.64,0
Central,601.7,26.77,0.619,17.4,0,5.93,0
North,291.1,25.65,0.459,42.9,0,2.3,0
North,537.8,32.2,0.833,19.1,1,2.69,0
East,804.8,26.97,0.439,43.5,0,1.31,0
North,703.0,26.26,0.78,22.4,1,2.85,0
Central,657.3,30.57,0.737,33.9,1,3.16,0
Central,771.3,25.48,0.55,36.1,0,2.36,0
Central,692.7,25.83,0.949,54.1,0,3.52,1
Central,802.7,27.53,0.823,55.2,1,3.32,0
South,757.9,27.5,0.742,34.7,0,1.37,1
East,848.3,28.23,0.772,16.0,1,5.9,0
Central,673.8,33.36,0.65,72.2,1,2.38,0
Central,755.8,28.44,0.689,25.3,0,8.08,1
Central,573.9,20.84,0.337,3.0,0,3.57,0
Central,529.8,28.41,0.805,41.8,0,9.79,0
South,876.0,27.61,0.485,42.9,1,5.84,0
North,652.4,27.62,0.886,26.1,0,3.15,1
Central,740.7,28.19,0.605,9.5,0,1.7,0
East,638.6,27.42,0.621,7.6,0,1.72,0
North,532.0,27.35,0.774,27.6,0,3.84,0
Central,621.6,29.22,0.689,14.7,0,2.98,0
South,835.4,25.98,0.672,63.0,0,1.85,0
North,703.3,24.85,0.471,26.8,1,4.67,0
North,363.3,35.97,0.631,24.4,0,2.79,1
North,587.7,25.5,0.681,104.1,1,4.69,0
East,887.3,27.78,0.674,3.6,1,1.44,0
North,587.9,23.31,0.82,33.7,0,5.21,0
North,349.9,27.83,0.542,6.5,0,3.76,0
North,904.0,24.89,0.618,77.1,0,5.92,0
North,722.4,26.26,0.323,8.7,0,5.13,0
South,609.5,30.43,0.553,44.1,0,2.57,0
Central,564.3,28.82,0.325,39.9,0,2.44,0
South,782.4,29.09,0.603,6.4,0,8.66,0
South,538.7,22.54,0.898,44.4,0,2.25,0
East,792.2,32.64,0.855,22.3,0,4.42,0
North,701.3,24.16,0.861,50.3,0,2.12,0
East,656.7,31.78,0.622,21.2,0,0.81,1
South,641.8,30.36,0.687,44.5,0,1.22,1
North,593.8,29.12,0.891,31.3,0,3.54,1
South,776.8,25.11,0.627,44.4,0,4.29,0
East,490.2,27.92,0.716,49.7,0,3.55,0
Central,376.7,26.18,0.552,28.8,0,5.73,1
East,712.2,27.58,0.795,25.4,0,3.51,0
Central,714.7,26.8,0.571,48.8,0,1.64,0
South,692.0,21.79,0.811,22.6,1,4.0,0
East,681.2,30.64,0.591,29.3,0,3.04,0
Central,571.9,27.27,0.864,86.8,0,1.87,0
South,738.1,26.14,0.493,34.0,0,3.7,0
Central,613.2,25.93,0.364,55.2,1,2.86,1
South,546.9,28.5,0.622,20.0,1,1.83,0
South,573.2,25.0,0.824,44.1,0,2.42,0
North,923.1,21.19,0.555,29.9,0,6.81,0
Central,359.8,28.64,0.702,25.9,0,6.67,1
Central,695.0,28.95,0.534,5.9,1,3.07,1
North,368.1,26.94,0.804,14.9,0,2.82,1
North,603.8,24.29,0.868,5.0,1,1.07,0
Central,555.0,27.75,0.664,108.4,0,8.31,1
North,307.2,23.4,0.431,31.0,0,5.33,1
North,678.4,24.62,0.668,34.1,0,4.43,0
South,563.0,25.4,0.838,61.9,0,0.62,0
South,305.1,29.86,0.496,41.2,0,2.79,1
South,745.9,26.48,0.769,25.8,1,2.5,0
Central,835.3,26.25,0.817,26.0,0,4.24,0
East,843.5,32.97,0.198,13.9,0,2.03,0
South,673.8,28.49,0.632,46.6,1,2.34,1
North,626.9,28.45,0.574,47.7,1,4.07,0
North,819.2,26.46,0.856,34.4,1,1.64,0
South,872.4,25.83,0.719,30.4,1,1.87,0
North,790.0,21.38,0.665,48.0,0,3.08,0
Central,478.8,30.21,0.811,13.6,1,6.49,1
East,650.2,28.76,0.835,42.8,0,4.6,0
North,685.9,27.0,0.898,89.9,1,5.47,1
North,348.6,27.12,0.72,20.4,1,2.83,0
East,690.4,29.56,0.526,28.3,0,7.18,0
South,960.9,23.15,0.845,74.9,0,0.88,0
North,716.0,25.85,0.65,34.5,1,10.12,0
East,841.0,24.32,0.821,58.2,1,11.01,0
East,647.4,32.46,0.566,44.5,0,3.66,0
Central,609.0,29.95,0.575,47.1,1,4.67,1
South,677.2,21.33,0.526,19.5,0,2.65,0
Central,497.6,23.26,0.749,19.0,0,2.37,0
North,475.4,27.13,0.671,53.1,0,1.83,0
South,809.9,26.18,0.754,10.3,0,2.63,0
Central,825.9,23.79,0.803,29.3,0,3.9,0
South,471.3,32.95,0.611,48.1,1,3.57,1
East,765.2,28.38,0.59,28.2,0,9.89,1
North,607.0,28.83,0.678,30.7,1,2.9,0
South,671.0,25.56,0.815,60.1,1,1.03,1
North,689.0,29.52,0.917,80.9,0,7.92,1
East,769.2,26.43,0.486,136.2,1,1.23,0
Central,632.4,26.71,0.954,76.4,1,1.89,0
South,831.5,29.21,0.807,24.0,0,3.24,0
South,666.4,22.94,0.533,16.9,0,3.56,0
Central,713.6,31.97,0.63,24.2,0,1.06,0
South,495.0,28.01,0.488,48.6,0,1.67,1
South,943.8,31.09,0.652,26.1,0,1.04,0
South,690.5,24.49,0.859,20.1,0,4.07,0
South,726.9,24.92,0.879,87.3,1,5.87,0
East,378.8,24.25,0.387,25.5,1,1.23,0
Central,496.6,28.2,0.4,46.1,1,5.19,1
Central,805.7,27.68,0.593,45.2,1,4.98,0
North,663.0,26.2,0.616,6.0,0,1.77,0
South,332.9,24.66,0.797,83.9,0,0.75,1
Central,775.7,23.95,0.336,12.9,0,1.35,0
Central,538.4,27.36,0.742,9.3,0,1.85,0
North,831.7,26.2,0.919,23.3,0,7.4,0
East,606.8,25.58,0.97,17.1,1,2.52,0
Central,650.7,31.83,0.8,75.4,0,1.41,0
South,796.8,27.27,0.428,40.7,0,2.99,0
North,485.4,31.06,0.591,21.7,0,1.17,0
East,471.1,26.01,0.55,9.0,0,3.8,0
North,590.5,28.19,0.702,44.1,0,1.44,0
North,744.1,27.34,0.938,27.3,0,1.58,0
East,420.4,22.75,0.684,48.3,1,3.47,0
East,369.8,31.5,0.631,40.9,1,8.48,1
North,743.6,27.12,0.192,17.6,0,11.34,1
Central,529.6,29.59,0.863,52.5,0,1.38,0
South,561.2,25.39,0.774,11.6,0,1.84,1
East,341.5,27.04,0.657,26.4,0,3.8,1
Central,518.2,25.07,0.507,29.2,0,5.81,0
Central,618.9,30.96,0.384,32.2,0,0.67,1
South,759.6,28.37,0.573,10.9,0,2.88,0
South,504.3,28.53,0.778,73.0,0,1.98,1
South,868.6,31.3,0.848,17.6,0,0.78,0
South,517.3,30.74,0.396,7.1,1,1.14,0
North,517.5,29.64,0.855,41.8,0,1.88,0
East,850.6,23.52,0.656,107.4,0,2.82,0
East,651.7,25.55,0.446,6.0,0,5.23,1
South,537.2,24.69,0.528,14.7,1,3.42,0
North,596.7,29.54,0.879,60.6,0,5.03,1
North,823.0,27.98,0.606,33.9,0,2.77,0
South,839.9,23.61,0.139,11.3,0,1.72,0
North,497.5,26.97,0.811,29.0,1,2.41,0
East,613.6,23.32,0.329,91.2,1,4.27,0
Central,633.5,27.35,0.44,78.1,0,5.32,0
South,472.1,22.86,0.535,152.5,0,2.47,1
East,611.6,28.98,0.839,54.2,0,1.49,0
Central,620.8,28.56,0.745,22.8,0,3.38,0
Central,791.0,32.84,0.814,59.9,0,3.71,1
South,801.1,29.87,0.598,19.1,0,6.06,0
South,570.6,26.32,0.592,30.8,0,1.75,1
Central,587.9,29.79,0.726,19.3,1,1.76,0
South,719.6,23.59,0.654,54.0,0,4.44,0
East,532.2,24.81,0.627,50.8,0,2.09,0
Central,708.3,28.43,0.859,20.6,1,2.03,0
North,606.8,21.46,0.716,69.2,1,6.14,1
Central,474.6,27.4,0.738,83.7,0,1.11,0
Central,476.5,24.64,0.763,23.0,1,10.35,1
North,837.1,27.78,0.886,44.7,0,1.83,1
North,596.5,24.48,0.703,87.1,1,4.77,0
South,866.1,28.69,0.822,42.0,0,2.53,0
Central,543.0,27.55,0.855,26.5,1,3.24,0
East,663.7,31.42,0.472,31.8,0,2.29,0
Central,978.9,27.52,0.925,22.7,0,4.74,0
North,461.4,25.35,0.43,70.6,0,2.17,1
South,335.3,26.81,0.868,65.0,0,1.87,1
East,813.0,23.74,0.663,120.8,0,8.83,0
Central,496.0,28.64,0.948,18.8,1,2.77,0
North,616.9,29.15,0.645,21.7,0,1.75,0
North,532.1,34.41,0.678,9.5,1,1.03,1
Central,660.2,25.76,0.871,48.9,0,9.14,0
Central,477.4,26.75,0.675,13.2,0,1.9,0
Central,593.0,25.89,0.855,116.9,0,10.38,0
North,687.5,28.09,0.953,17.1,0,3.52,1
Central,468.8,28.57,0.969,5.6,0,2.98,0
East,515.0,27.35,0.822,12.7,1,3.04,0
South,567.9,30.54,0.424,41.1,0,11.48,1
Central,405.7,25.77,0.632,31.4,0,0.65,0
North,556.6,30.26,0.237,16.8,0,3.12,1
Central,637.8,29.01,0.682,30.3,0,2.29,0
Central,560.1,27.47,0.731,21.0,0,2.37,0
South,579.3,26.62,0.122,48.1,0,3.0,1
East,617.0,34.29,0.405,13.6,0,2.29,1
East,521.6,25.21,0.75,37.1,1,3.07,0
East,723.7,28.33,0.421,38.2,0,2.68,0
East,835.4,25.4,0.722,32.2,0,1.16,0
East,550.3,32.5,0.721,44.2,0,3.48,0
North,692.8,29.98,0.714,30.0,0,4.33,0
North,584.1,25.6,0.692,53.6,1,1.91,0
Central,674.8,28.94,0.894,32.1,1,9.15,0
South,854.9,28.22,0.56,72.6,1,6.48,0
North,696.3,26.05,0.902,36.9,1,4.7,0
East,354.0,29.62,0.48,69.7,0,4.67,1
South,688.1,28.59,0.855,21.3,0,2.77,0
South,804.9,28.1,0.712,15.0,0,5.71,0
North,586.8,27.38,0.448,53.4,1,7.55,0
Central,769.3,28.71,0.306,32.6,1,4.6,0
North,516.5,28.14,0.82,3.7,0,1.88,1
East,397.2,27.67,0.64,18.4,0,2.65,0
South,641.2,25.71,0.647,41.2,0,3.95,0
South,356.5,32.24,0.743,30.5,1,4.69,1
Central,584.0,24.56,0.701,17.8,0,2.58,0
Central,813.0,28.7,0.853,32.4,0,1.88,0
Central,333.5,26.6,0.734,36.3,0,7.61,1
South,428.1,32.43,0.893,7.1,0,1.35,0
South,465.2,24.97,0.487,68.4,0,1.47,0
North,610.5,25.44,0.619,78.6,0,1.15,1
East,565.1,24.78,0.594,18.4,1,1.47,0
North,829.9,28.41,0.426,105.1,0,6.12,1
East,763.2,23.66,0.921,30.7,1,6.25,0
North,694.3,26.16,0.673,20.1,0,2.59,0
Central,641.8,21.47,0.528,19.6,0,3.75,0
East,679.0,28.17,0.468,100.7,0,2.7,0
North,490.7,26.1,0.685,13.9,0,1.25,0
Central,748.6,23.33,0.26,36.8,0,11.49,0
Central,453.2,30.54,0.633,40.0,0,6.64,1
Central,745.3,23.84,0.516,53.6,0,3.42,0
South,797.9,29.73,0.594,34.8,0,1.56,0
East,651.6,25.54,0.453,96.1,1,2.35,1
East,593.6,31.98,0.836,107.7,0,1.73,0
Central,680.0,29.6,0.791,82.3,0,2.9,0
Central,190.8,24.68,0.793,42.8,0,3.32,1
Central,665.3,24.93,0.583,61.1,0,2.18,0
Central,603.0,29.2,0.659,26.2,1,1.06,0
North,612.4,26.77,0.382,70.1,0,10.87,0
East,726.0,27.03,0.692,21.0,1,3.17,1
East,608.8,31.06,0.966,15.9,1,3.66,0
South,449.0,25.4,0.738,15.5,0,2.07,0
Central,598.8,27.76,0.924,48.9,0,0.98,0
Central,630.1,30.17,0.288,88.6,1,2.58,1
Central,637.2,29.77,0.464,93.2,1,2.2,0
Central,644.3,27.05,0.752,4.1,0,4.31,0
Central,775.9,26.69,0.516,63.6,0,4.9,0
North,457.1,22.63,0.86,15.0,0,4.47,0
North,646.4,24.54,0.83,134.9,1,5.17,1
East,813.5,28.39,0.744,11.1,1,8.78,0
Central,359.8,27.11,0.615,7.3,0,3.5,1
East,646.9,27.71,0.57,64.5,0,5.55,0
North,532.2,30.41,0.607,25.0,1,3.75,1
South,564.4,24.18,0.828,23.9,1,0.79,0
North,484.3,26.84,0.247,18.1,0,2.46,0
Central,594.6,28.03,0.499,20.7,0,1.55,0
North,896.2,25.53,0.372,66.4,0,3.16,1
North,430.3,31.51,0.588,15.5,0,1.63,1
East,444.6,30.04,0.497,29.9,0,4.03,0
Central,424.7,28.31,0.716,14.1,0,5.14,0
South,879.1,32.52,0.563,35.8,1,5.94,0
Central,550.6,23.3,0.592,23.5,0,7.79,0
Central,616.2,27.48,0.861,46.1,0,0.91,0
Central,559.6,28.53,0.859,50.3,0,1.25,1
North,478.3,24.94,0.654,89.6,0,18.23,1
East,584.7,28.34,0.383,129.3,0,5.24,1
South,988.7,24.4,0.706,19.7,0,3.15,0
South,828.8,29.43,0.575,54.3,0,2.78,0
Central,492.1,30.46,0.717,23.2,0,2.62,0
North,717.1,28.26,0.671,49.3,1,0.77,0
East,495.3,22.31,0.627,47.8,1,1.65,0
Central,353.5,24.79,0.921,46.8,0,2.53,1
North,772.9,29.08,0.361,57.1,0,1.71,1
Central,794.0,27.56,0.701,37.5,0,1.86,0
South,776.9,19.96,0.672,25.0,1,14.34,0
South,549.5,30.98,0.581,36.1,1,2.31,0
South,595.0,27.88,0.694,123.2,0,3.26,0
South,732.5,25.21,0.633,21.5,0,3.18,0
North,678.7,30.29,0.787,26.6,0,3.99,1
East,561.0,25.6,0.708,18.5,0,1.99,0
Central,377.1,25.57,0.848,5.9,0,6.11,0
South,637.1,28.5,0.729,31.9,0,3.63,0
North,781.9,32.49,0.883,51.6,1,1.18,0
East,440.4,32.05,0.636,16.1,0,2.53,0
Central,715.8,28.51,0.634,80.7,0,2.43,0
North,669.7,28.79,0.755,45.1,0,2.36,1
Central,732.5,29.72,0.628,66.8,1,3.78,0
North,750.8,23.98,0.583,42.2,0,4.11,0
North,515.8,29.3,0.612,29.8,0,3.8,0
South,377.5,25.44,0.781,25.5,1,3.39,0
Central,540.0,28.39,0.847,41.0,0,2.87,0
East,753.4,26.86,0.541,43.6,0,0.67,0
Central,538.7,28.9,0.952,22.7,0,4.51,0
South,515.9,27.83,0.792,29.2,0,3.73,0
Central,346.8,18.9,0.923,108.3,1,1.43,0
South,882.9,28.0,0.594,36.6,0,3.26,0
South,743.9,29.3,0.723,39.3,0,4.14,0
Central,735.5,28.75,0.521,91.8,0,5.82,0
East,765.2,27.21,0.845,44.0,1,3.79,0
Central,706.5,32.1,0.708,33.4,1,3.35,0
North,583.4,28.37,0.712,65.5,0,5.03,0
South,595.4,28.73,0.602,56.0,0,2.23,0
East,555.9,30.42,0.756,40.0,0,3.55,0
North,1015.2,28.52,0.821,42.4,1,1.82,0
Central,703.4,24.99,0.627,27.2,0,5.59,1
East,550.4,20.67,0.711,13.3,0,0.95,0
South,689.8,26.16,0.508,50.7,0,4.62,0
East,468.4,29.63,0.452,9.0,1,2.75,0
Central,845.7,26.51,0.951,13.8,0,5.09,0
South,520.8,29.74,0.67,28.9,0,1.64,0
Central,695.2,27.92,0.824,26.8,1,2.88,0
East,779.9,31.11,0.507,54.4,0,2.83,0
Central,677.7,26.67,0.587,64.1,0,3.6,0
South,634.2,28.81,0.871,118.1,0,1.38,0
Central,621.6,28.92,0.529,7.7,0,4.11,0
South,611.5,31.7,0.587,46.7,0,0.82,1
South,533.5,22.72,0.696,45.4,0,1.76,0
Central,552.6,26.22,0.725,41.5,0,0.98,0
East,841.9,29.88,0.485,50.7,0,4.66,0
Central,603.7,31.83,0.602,58.0,1,3.53,0
South,502.1,28.17,0.21,82.4,0,3.66,0
Central,542.6,26.68,0.705,42.4,1,7.08,0
Central,785.1,29.62,0.61,98.8,0,2.21,0
Central,721.3,29.93,0.859,42.6,0,4.04,0
North,704.0,26.49,0.887,24.1,0,2.84,0
North,581.4,28.42,0.744,40.0,0,2.57,0
South,706.0,30.81,0.821,17.3,0,6.36,1
South,523.5,32.79,0.44,18.0,0,10.52,0
South,581.1,29.58,0.539,30.8,1,2.05,0
North,765.5,27.62,0.848,27.6,1,4.67,0
Central,751.1,27.35,0.767,80.9,0,3.34,0
North,472.7,29.06,0.29,30.5,1,3.37,1
South,491.7,27.18,0.731,15.3,0,3.19,0
East,636.3,28.03,0.569,34.9,0,2.19,1
Central,878.9,24.54,0.481,42.3,0,0.26,0
South,332.7,31.13,0.529,37.6,1,7.37,1
North,661.7,24.31,0.917,14.6,1,1.73,0
Central,413.6,26.29,0.45,86.6,1,2.32,0
North,524.9,27.77,0.595,6.9,1,2.36,1
Central,565.3,33.07,0.603,37.2,0,1.63,1
South,556.9,26.32,0.752,14.2,1,3.18,0
East,539.9,25.64,0.323,68.0,1,2.64,0
North,621.1,25.96,0.581,46.8,1,1.71,0
South,539.7,32.14,0.802,42.3,0,3.0,1
